voteId,title,url,date,time,turnout,govWins,jacqui_lambie,glenn_lazarus,david_leyonhjelm,john_madigan,ricky_muir,nick_xenophon,dio_wang,bob_day
3547,Bills — Energy Efficiency Opportunities (Repeal) Bill 2014; Second Reading,https://theyvoteforyou.org.au/divisions/senate/2014-09-04/5,2014-09-04,1:59 PM,85.5,gov_wins,government,government,government,absent,government,government,government,government
3560,Motions — Security in Afghanistan,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/1,2014-10-28,4:03 PM,56.6,gov_wins,absent,absent,absent,absent,absent,absent,absent,absent
3561,Motions - Mining - Acknowledge massive economic benefits,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/2,2014-10-28,4:07 PM,55.3,gov_wins,absent,absent,absent,absent,greens,absent,greens,absent
3562,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 — Second Reading - Agree with the bill's main idea,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/3,2014-10-28,7:59 PM,76.3,gov_wins,government,government,greens,government,government,greens,government,government
3563,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - In Committee - Extend sunset clauses,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/4,2014-10-28,9:10 PM,63.2,gov_wins,government,government,greens,government,government,greens,government,government
3564,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - In Committee - Add extra defences to unauthorise disclosure offence,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/5,2014-10-28,9:32 PM,65.8,gov_wins,government,government,greens,government,government,absent,government,greens
3565,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - In Committee - Add sunset clause for delayed notification search warrant,https://theyvoteforyou.org.au/divisions/senate/2014-10-28/6,2014-10-28,9:55 PM,71.1,gov_wins,government,government,greens,greens,government,greens,government,greens
3568,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - in Committee - Limit who the advocating terrorism offence applies to,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/1,2014-10-29,11:00 AM,85.5,gov_wins,government,government,labor,government,government,government,absent,government
3569,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - in Committee - Support offence of entering and staying in a declared area,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/2,2014-10-29,11:56 AM,64.5,gov_wins,government,government,greens,government,government,government,government,government
3570,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - in Committee - Change exceptions to offence of entering and staying in a declared area,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/3,2014-10-29,12:35 PM,81.6,gov_wins,government,government,labor,government,government,government,government,government
3571,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - in Committee - Australian Greens amendments,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/4,2014-10-29,12:41 PM,71.1,gov_wins,government,government,greens,government,government,government,government,government
3572,Counter-Terrorism Legislation Amendment (Foreign Fighters) Bill 2014 - Third Reading - Pass the bill,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/5,2014-10-29,,72.4,gov_wins,government,government,greens,government,government,greens,government,government
3573,Motions - Trans-Pacific Partnership Agreement - Give members of Parliament access to the draft text,https://theyvoteforyou.org.au/divisions/senate/2014-10-29/6,2014-10-29,,60.5,gov_wins,absent,greens,government,greens,greens,greens,greens,government
3574,Business — Days and Hours of Meeting,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/1,2014-10-30,9:57 AM,84.2,gov_wins,government,government,labor,government,government,government,government,labor
3575,Business — Days and Hours of Meeting,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/2,2014-10-30,10:01 AM,84.2,gov_wins,government,government,labor,government,government,government,government,labor
3576,Business — Days and Hours of Meeting,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/3,2014-10-30,3:11 PM,89.5,gov_wins,government,government,government,government,government,government,government,government
3577,Committees — Rural and Regional Affairs and Transport References Committee; Reference,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/4,2014-10-30,4:11 PM,84.2,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3578,Carbon Farming Initiative Amendment Bill 2014 - Second Reading - Criticise Abbott Government's climate change policies,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/5,2014-10-30,8:57 PM,78.9,gov_wins,government,government,government,government,government,government,government,government
3579,Carbon Farming Initiative Amendment Bill 2014 - Second Reading - Criticise the Direct Action policy,https://theyvoteforyou.org.au/divisions/senate/2014-10-30/6,2014-10-30,9:01 PM,78.9,gov_wins,government,government,government,government,government,government,government,government
